name,value,year,lastValue,rank
michael,0,0,NA,1
pam,0,0,NA,2
jim,0,0,NA,3
dwight,0,0,NA,4
phyllis,0,0,NA,5
stanley,0,0,NA,6
toby,0,0,NA,7
andy,0,0,NA,8
angela,0,0,NA,9
charles,0,0,NA,10
clark,0,0,NA,11
creed,0,0,NA,12
darryl,0,0,NA,13
david,0,0,NA,14
deangelo,0,0,NA,15
erin,0,0,NA,16
gabe,0,0,NA,17
holly,0,0,NA,18
jan,0,0,NA,19
karen,0,0,NA,20
kelly,0,0,NA,21
kevin,0,0,NA,22
meredith,0,0,NA,23
oscar,0,0,NA,24
roy,0,0,NA,25
ryan,0,0,NA,26
jo,0,0,NA,27
nellie,0,0,NA,28
robert,0,0,NA,29
todd,0,0,NA,30
michael,82,1,0,1
pam,41,1,0,2
jim,36,1,0,3
dwight,29,1,0,4
jan,12,1,0,5
ryan,8,1,0,6
stanley,5,1,0,7
roy,5,1,0,8
oscar,3,1,0,9
todd,3,1,0,10
phyllis,2,1,0,11
angela,1,1,0,12
kevin,1,1,0,13
toby,0,1,0,14
andy,0,1,0,15
charles,0,1,0,16
clark,0,1,0,17
creed,0,1,0,18
darryl,0,1,0,19
david,0,1,0,20
deangelo,0,1,0,21
erin,0,1,0,22
gabe,0,1,0,23
holly,0,1,0,24
karen,0,1,0,25
kelly,0,1,0,26
meredith,0,1,0,27
jo,0,1,0,28
nellie,0,1,0,29
robert,0,1,0,30
michael,163,2,82,1
jim,63,2,36,2
pam,57,2,41,3
dwight,48,2,29,4
oscar,16,2,3,5
jan,12,2,12,6
ryan,12,2,8,7
stanley,10,2,5,8
kevin,9,2,1,9
angela,5,2,1,10
roy,5,2,5,11
todd,3,2,3,12
phyllis,2,2,2,13
toby,2,2,0,14
kelly,2,2,0,15
andy,0,2,0,16
charles,0,2,0,17
clark,0,2,0,18
creed,0,2,0,19
darryl,0,2,0,20
david,0,2,0,21
deangelo,0,2,0,22
erin,0,2,0,23
gabe,0,2,0,24
holly,0,2,0,25
karen,0,2,0,26
meredith,0,2,0,27
jo,0,2,0,28
nellie,0,2,0,29
robert,0,2,0,30
michael,219,3,163,1
dwight,110,3,48,2
jim,105,3,63,3
pam,89,3,57,4
jan,30,3,12,5
oscar,25,3,16,6
stanley,16,3,10,7
kevin,15,3,9,8
ryan,13,3,12,9
angela,10,3,5,10
roy,5,3,5,11
meredith,3,3,0,12
todd,3,3,3,13
phyllis,2,3,2,14
toby,2,3,2,15
kelly,2,3,2,16
andy,0,3,0,17
charles,0,3,0,18
clark,0,3,0,19
creed,0,3,0,20
darryl,0,3,0,21
david,0,3,0,22
deangelo,0,3,0,23
erin,0,3,0,24
gabe,0,3,0,25
holly,0,3,0,26
karen,0,3,0,27
jo,0,3,0,28
nellie,0,3,0,29
robert,0,3,0,30
michael,298,4,219,1
dwight,168,4,110,2
jim,154,4,105,3
pam,111,4,89,4
